Date,Session,Source row,Case,Original family or pilot Task IDs,Analytical activity,Activity confidence,Purchasing stage,Stage confidence,Scope,Quality,Included exact minutes,Recorded exact activity minutes,Timing status,Start as recorded,End as recorded,Volume as recorded,INT as recorded,DEC as recorded,Source note,Combined components,Current Task IDs,Register status and confidence,Assignment reason,Existing enrichment rationale,Stage correction on 21 Sep,Actor,Original label type,Original pilot status,Original time field,Original volume INT field,Original recorded eligible text,Source reference,Source file,Source URL,Source commit,Framework version,Raw row verbatim,Raw fields JSON
2026-08-28,Pilot,1,OBS-01/09,8–9,"Assess demand, consolidate and decide order timing",P,Ordering,C,INCLUDE,VALID,5,5,Exact recorded interval,09:36,09:41,2L,1,,New article. Whether demand was actually combined (Task 10) was not recorded. Same case continues at 10:49.,,7;8,Mapped / P,MAX search and assessment are supported; translated Tasks 7–8 remain provisional. No actual addition or hold/proceed outcome is inferred.,Translate source pre-31-August Tasks 8–9 to current Tasks 7–8. Maximalisatie supports ordering; actual consolidation (old Task 10/current Task 9) was not recorded. Preserve the merged OBS-01/09 case identity.,,Arno,historical_task_id,P,09:36–09:41,"2L, INT 1",5 / 5,1: OBS-01/09; 09:36–09:41,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-01/09                                                         | 09:36–09:41 | 5   | 8–9             | P     | Maximalisatie                                           | 2L, INT 1      | New article. Whether demand was actually combined (Task 10) was not recorded. Same case continues at 10:49.                                                                                                                                                                           |","{""Case"": ""OBS-01/09"", ""Time"": ""09:36–09:41"", ""Min"": ""5"", ""Task ID"": ""8–9"", ""Status"": ""P"", ""Activity"": ""Maximalisatie"", ""Vol / INT"": ""2L, INT 1"", ""Observation note"": ""New article. Whether demand was actually combined (Task 10) was not recorded. Same case continues at 10:49.""}"
2026-08-28,Pilot,2,OBS-02,1 + **U**,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,VALID,,9,Exact recorded interval,09:41,09:50,,0,,"Request at the desk. Arnold compared collecting the goods with Hytech's own transport versus delivery by RC, including the cost of each option. **No register task covers a delivery-method/logistics-cost comparison.**",,1,Mixed / P,One interval combines purchasing-request intake of unresolved stage with a logistics-option comparison. Neither part supports a stage-specific catalog label; preserve the existing mixed-scope review and do not divide minutes.,"The single nine-minute interval combines purchasing-request intake with comparing collection and supplier-delivery costs. Task 1 covers intake only; logistics comparison is unregistered and excluded in scope, but no boundary permits separating its minutes. Do not split or label the whole interval as eligible intake.",,Arno,historical_task_id,U,09:41–09:50,INT 0,9 / n/a,2: OBS-02; 09:41–09:50,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-02                                                            | 09:41–09:50 | 9   | 1 + **U**       | U     | Desk purchasing request + delivery-option comparison    | INT 0          | Request at the desk. Arnold compared collecting the goods with Hytech's own transport versus delivery by RC, including the cost of each option. **No register task covers a delivery-method/logistics-cost comparison.**                                                              |","{""Case"": ""OBS-02"", ""Time"": ""09:41–09:50"", ""Min"": ""9"", ""Task ID"": ""1 + **U**"", ""Status"": ""U"", ""Activity"": ""Desk purchasing request + delivery-option comparison"", ""Vol / INT"": ""INT 0"", ""Observation note"": ""Request at the desk. Arnold compared collecting the goods with Hytech's own transport versus delivery by RC, including the cost of each option. **No register task covers a delivery-method/logistics-cost comparison.**""}"
2026-08-28,Pilot,3,OBS-03,1,Unresolved activity,?,Unresolved stage,?,INCLUDE,VALID,6,6,Exact recorded interval,09:50,09:56,4 items,1,,Request for four items received by phone. Outcome/decision recorded on the sheet could not be reliably recalled afterward.,,1,Mapped / P,"The four-item phone request is recorded, but requirement definition versus execution of a defined request is unresolved. Keep the existing UNKNOWN stage and unrecalled outcome.","A phone purchasing request for four items is explicit, supporting probable Task 1 intake. The note does not establish whether requirements were still being defined or a defined order was being prepared. Keep six included minutes with unresolved stage; the unrecalled outcome does not justify inventing a decision or PO creation.",,Arno,historical_task_id,P,09:50–09:56,"4 items, INT 1",6 / 6,3: OBS-03; 09:50–09:56,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-03                                                            | 09:50–09:56 | 6   | 1               | P     | Phone purchasing request                                | 4 items, INT 1 | Request for four items received by phone. Outcome/decision recorded on the sheet could not be reliably recalled afterward.                                                                                                                                                            |","{""Case"": ""OBS-03"", ""Time"": ""09:50–09:56"", ""Min"": ""6"", ""Task ID"": ""1"", ""Status"": ""P"", ""Activity"": ""Phone purchasing request"", ""Vol / INT"": ""4 items, INT 1"", ""Observation note"": ""Request for four items received by phone. Outcome/decision recorded on the sheet could not be reliably recalled afterward.""}"
2026-08-28,Pilot,4,OBS-04,1 + 23?,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,VALID,,6,Exact recorded interval,09:56,10:02,,0,,"Separate call about a different PO. Raw notes indicate the request had to be forwarded, and that forwarding occurred twice. Whether this is Task 23 or forwarding of a request is unconfirmed.",,unassigned,Unresolved / ?,The call and two forwarding actions do not identify either a defined purchasing request or supplier-facing PO communication. Existing-order aftercare versus request handling remains unresolved.,"A call about a different PO and two forwarding actions are recorded, but neither a new purchasing need nor supplier-PO forwarding is established. Preserve original Tasks 1 + 23? without imposing those tasks on the derived classification; request handling versus existing-order aftercare remains unresolved.",,Arno,historical_task_id,P,09:56–10:02,INT 0,6 / n/a,4: OBS-04; 09:56–10:02,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-04                                                            | 09:56–10:02 | 6   | 1 + 23?         | P     | Phone request concerning another PO                     | INT 0          | Separate call about a different PO. Raw notes indicate the request had to be forwarded, and that forwarding occurred twice. Whether this is Task 23 or forwarding of a request is unconfirmed.                                                                                        |","{""Case"": ""OBS-04"", ""Time"": ""09:56–10:02"", ""Min"": ""6"", ""Task ID"": ""1 + 23?"", ""Status"": ""P"", ""Activity"": ""Phone request concerning another PO"", ""Vol / INT"": ""INT 0"", ""Observation note"": ""Separate call about a different PO. Raw notes indicate the request had to be forwarded, and that forwarding occurred twice. Whether this is Task 23 or forwarding of a request is unconfirmed.""}"
2026-08-28,Pilot,5,—,—,Not an observed activity,C,Not applicable,C,NOT_OBSERVATION,NOT_OBSERVATION,,,Not observed activity,10:02,10:35,,,,—,,unassigned,Unresolved / ?,This row records the break. It is not buyer activity and remains outside activity and workload totals.,"Recorded interval is the 33-minute break, not buyer work. Its interval length is audit context only and must be excluded from recorded-work, eligible-work and stage totals.",,Arno,historical_task_id,—,10:02–10:35,—,33 / n/a,5: —; 10:02–10:35,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,| —                                                                 | 10:02–10:35 | —   | —               | —     | **Break**                                               | —              | —                                                                                                                                                                                                                                                                                     |,"{""Case"": ""—"", ""Time"": ""10:02–10:35"", ""Min"": ""—"", ""Task ID"": ""—"", ""Status"": ""—"", ""Activity"": ""**Break**"", ""Vol / INT"": ""—"", ""Observation note"": ""—""}"
2026-08-28,Pilot,6,OBS-05,26,Check and process supplier confirmations,C,Monitoring,C,INCLUDE,VALID,4,4,Exact recorded interval,10:35,10:39,3L,0,,"Post-confirmation price control. No deviation correction recorded, so Task 27 is not coded.",,26,Mapped / C,Explicit supplier-confirmation comparison with PO/Exact. No deviation correction is inferred.,"Explicit comparison of supplier confirmation with PO/Exact is routine post-order confirmation monitoring. No deviation correction was recorded, so Task 27 is not added.",,Arno,historical_task_id,C,10:35–10:39,"3L, INT 0",4 / 4,6: OBS-05; 10:35–10:39,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-05                                                            | 10:35–10:39 | 4   | 26              | C     | Compare supplier confirmation with PO / Exact           | 3L, INT 0      | Post-confirmation price control. No deviation correction recorded, so Task 27 is not coded.                                                                                                                                                                                           |","{""Case"": ""OBS-05"", ""Time"": ""10:35–10:39"", ""Min"": ""4"", ""Task ID"": ""26"", ""Status"": ""C"", ""Activity"": ""Compare supplier confirmation with PO / Exact"", ""Vol / INT"": ""3L, INT 0"", ""Observation note"": ""Post-confirmation price control. No deviation correction recorded, so Task 27 is not coded.""}"
2026-08-28,Pilot,7,OBS-05,28,Check and process supplier confirmations,C,Monitoring,C,INCLUDE,VALID,1,1,Exact recorded interval,10:39,10:40,3L,0,,Completed the confirmation handling for the same case.,,28,Mapped / C,Explicit confirmation attachment and Bevestigd update are confirmation processing; this broad activity does not require comparison to occur in the same row.,Explicit confirmation attachment and Bevestigd update complete routine confirmation processing. This is not a supplier-forwarding action.,,Arno,historical_task_id,C,10:39–10:40,"3L, INT 0",1 / 1,7: OBS-05; 10:39–10:40,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-05                                                            | 10:39–10:40 | 1   | 28              | C     | Attach confirmation and set `Bevestigd`                 | 3L, INT 0      | Completed the confirmation handling for the same case.                                                                                                                                                                                                                                |","{""Case"": ""OBS-05"", ""Time"": ""10:39–10:40"", ""Min"": ""1"", ""Task ID"": ""28"", ""Status"": ""C"", ""Activity"": ""Attach confirmation and set `Bevestigd`"", ""Vol / INT"": ""3L, INT 0"", ""Observation note"": ""Completed the confirmation handling for the same case.""}"
2026-08-28,Pilot,8,OBS-06,4 + **U**,Establish or clarify purchasing requirements,C,Specification,C,INCLUDE,VALID,4,4,Exact recorded interval,10:40,10:44,4L,0,,Arnold contacted the requesting colleague to establish whether a complete set of tang was wanted or only the tang. Work paused awaiting the reply. Task 4 is TALLY-only and does not represent four minutes of active clarification work.,,4,Mixed / C,The requester is asked whether a complete set or only the tang is required. Validation and active clarification both serve the same requirement-establishment activity; no internal minute split.,"Clarification establishes whether the requester needs a complete set or only the tang, directly resolving what must be purchased. The source covers validation under Task 4 but explicitly identifies active requester clarification as unregistered; do not equate all four minutes with Task 4 or invent a split.",,Arno,historical_task_id,U,10:40–10:44,"4L, INT 0",4 / 4,8: OBS-06; 10:40–10:44,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-06                                                            | 10:40–10:44 | 4   | 4 + **U**       | U     | Incoming email request unclear → clarify with requester | 4L, INT 0      | Arnold contacted the requesting colleague to establish whether a complete set of tang was wanted or only the tang. Work paused awaiting the reply. Task 4 is TALLY-only and does not represent four minutes of active clarification work.                                             |","{""Case"": ""OBS-06"", ""Time"": ""10:40–10:44"", ""Min"": ""4"", ""Task ID"": ""4 + **U**"", ""Status"": ""U"", ""Activity"": ""Incoming email request unclear → clarify with requester"", ""Vol / INT"": ""4L, INT 0"", ""Observation note"": ""Arnold contacted the requesting colleague to establish whether a complete set of tang was wanted or only the tang. Work paused awaiting the reply. Task 4 is TALLY-only and does not represent four minutes of active clarification work.""}"
2026-08-28,Pilot,9,OBS-07,26,Check and process supplier confirmations,C,Monitoring,C,INCLUDE,VALID,4,4,Exact recorded interval,10:44,10:48,3L,0,,Second post-confirmation price control episode of the session.,,26,Mapped / C,Explicit post-confirmation comparison is supplier-confirmation processing. No correction or archive step is added.,Explicit post-confirmation comparison supports Task 26 and routine monitoring. No correction or archiving action is inferred.,,Arno,historical_task_id,C,10:44–10:48,"3L, INT 0",4 / 4,9: OBS-07; 10:44–10:48,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,"| OBS-07                                                            | 10:44–10:48 | 4   | 26              | C     | Compare supplier confirmation with PO / Exact           | 3L, INT 0      | Second post-confirmation price control episode of the session.                                                                                                                                                                                                                        |","{""Case"": ""OBS-07"", ""Time"": ""10:44–10:48"", ""Min"": ""4"", ""Task ID"": ""26"", ""Status"": ""C"", ""Activity"": ""Compare supplier confirmation with PO / Exact"", ""Vol / INT"": ""3L, INT 0"", ""Observation note"": ""Second post-confirmation price control episode of the session.""}"
2026-08-28,Pilot,10,OBS-08,—,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,UNCERTAIN,,1,Exact recorded interval,10:48,10:49,,0,,Could not be recalled confidently. Retained as uncertain rather than reconstructed.,,unassigned,Unresolved / ?,Even the purported checking/email action was not reliably recalled. No catalog activity is reconstructed.,"The activity could not be recalled reliably; even email checking is tentative. Preserve the one-minute interval but hold it out of analysis without reconstructing its task, stage or scope.",,Arno,historical_task_id,?,10:48–10:49,INT 0,1 / n/a,10: OBS-08; 10:48–10:49,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,| OBS-08                                                            | 10:48–10:49 | 1   | —               | ?     | Checking (possibly email)                               | INT 0          | Could not be recalled confidently. Retained as uncertain rather than reconstructed.                                                                                                                                                                                                   |,"{""Case"": ""OBS-08"", ""Time"": ""10:48–10:49"", ""Min"": ""1"", ""Task ID"": ""—"", ""Status"": ""?"", ""Activity"": ""Checking (possibly email)"", ""Vol / INT"": ""INT 0"", ""Observation note"": ""Could not be recalled confidently. Retained as uncertain rather than reconstructed.""}"
2026-08-28,Pilot,11,OBS-01/09,1,Receive and complete a defined purchasing request,P,Ordering,P,INCLUDE,VALID,4,4,Exact recorded interval,10:49,10:53,,0,,Same case as OBS-01. Read and processed the incoming email request.,,1,Mapped / P,"Processing the incoming request probably serves the established ordering case, supported by its linked MAX, entry and forwarding episodes. Preserve provisional confidence.","Incoming email request is processed in the same OBS-01/09 case that contains MAX, purchasing-entry creation and later PO forwarding. Ordering intake is probable from this case context; retain source Task 1 confidence as provisional.",,Arno,historical_task_id,P,10:49–10:53,INT 0,4 / 4,11: OBS-01/09; 10:49–10:53,docs/measurement/Pilot_Measure_Observation_2026-08-28.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/7ec78e840589c711c73055cf6215e3f90040ff8a/docs/measurement/Pilot_Measure_Observation_2026-08-28.md,7ec78e840589c711c73055cf6215e3f90040ff8a,2026-09-21,| OBS-01/09                                                         | 10:49–10:53 | 4   | 1               | P     | Process incoming email request                          | INT 0          | Same case as OBS-01. Read and processed the incoming email request.                                                                                                                                                                                                                   |,"{""Case"": ""OBS-01/09"", ""Time"": ""10:49–10:53"", ""Min"": ""4"", ""Task ID"": ""1"", ""Status"": ""P"", ""Activity"": ""Process incoming email request"", ""Vol / INT"": ""INT 0"", ""Observation note"": ""Same case as OBS-01. Read and processed the incoming email request.""}"
