Date,Session,Source row,Case,Original family or pilot Task IDs,Analytical activity,Activity confidence,Purchasing stage,Stage confidence,Scope,Quality,Included exact minutes,Recorded exact activity minutes,Timing status,Start as recorded,End as recorded,Volume as recorded,INT as recorded,DEC as recorded,Source note,Combined components,Current Task IDs,Register status and confidence,Assignment reason,Existing enrichment rationale,Stage correction on 21 Sep,Actor,Original label type,Original pilot status,Original time field,Original volume INT field,Original recorded eligible text,Source reference,Source file,Source URL,Source commit,Framework version,Raw row verbatim,Raw fields JSON,Row key,Family,Eligible row,Eligible timed row,Analysis minutes,Decision marker positive,INT explicit numeric,Recorded line count,Linked observed case,Dated case reference,Reviewed Analytical activity,Reviewed Activity confidence,Reviewed Purchasing stage,Reviewed Stage confidence,Reviewed Combined components,Reviewed Current Task IDs,Reviewed Register status and confidence,Enrichment reviewed on,Enrichment status,Additional evidence,Recorded clock interval minutes,Concurrent overlap minutes,Classification limitation,Source raw SHA256
2026-09-23,Baseline,1,OBS-01,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,3,3,Exact recorded interval,11:03,11:06,4L,/,/,Generate the PO and perform Verrichten.,,17;19,Mapped / P,PO generation and Verrichten are explicitly observed. Broad preparation/release is clear; exact register coverage remains provisional and no separate authorization check or Fiatteren is inferred.,,,Arno,live_family,,,,,1: OBS-01; 11:03 to 11:06,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-01 | PO | 11:03 | 11:06 | 4L | / | / | Generate the PO and perform Verrichten. |,"{""Case"": ""OBS-01"", ""Activity"": ""PO"", ""Start"": ""11:03"", ""End"": ""11:06"", ""Volume"": ""4L"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""Generate the PO and perform Verrichten.""}",2026-09-23 / row 1,PO,1,1,3,0,,4,2026-09-23 / OBS-01,2026-09-23 / OBS-01,"Prepare, amend or release a purchase order",C,Ordering,C,,17;19,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,3,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,2,OBS-02,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,4,4,Exact recorded interval,11:06,11:10,5L,/,/,Four lines added to an existing PO.,,17,Mapped / P,"Four lines added to an existing PO. This supports amendment/completion, not an inferred MAX search, approval, dispatch or aftercare activity.",,,Arno,live_family,,,,,2: OBS-02; 11:06 to 11:10,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-02 | PO | 11:06 | 11:10 | 5L | / | / | Four lines added to an existing PO. |,"{""Case"": ""OBS-02"", ""Activity"": ""PO"", ""Start"": ""11:06"", ""End"": ""11:10"", ""Volume"": ""5L"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""Four lines added to an existing PO.""}",2026-09-23 / row 2,PO,1,1,4,0,,5,2026-09-23 / OBS-02,2026-09-23 / OBS-02,"Prepare, amend or release a purchase order",C,Ordering,C,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,4,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,3,OBS-03,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,1,1,Exact recorded interval,11:10,11:11,2L,/,/,One line added to an existing PO.,,17,Mapped / P,"One line added to an existing PO. This supports amendment/completion, not an inferred MAX search, approval, dispatch or aftercare activity.",,,Arno,live_family,,,,,3: OBS-03; 11:10 to 11:11,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-03 | PO | 11:10 | 11:11 | 2L | / | / | One line added to an existing PO. |,"{""Case"": ""OBS-03"", ""Activity"": ""PO"", ""Start"": ""11:10"", ""End"": ""11:11"", ""Volume"": ""2L"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""One line added to an existing PO.""}",2026-09-23 / row 3,PO,1,1,1,0,,2,2026-09-23 / OBS-03,2026-09-23 / OBS-03,"Prepare, amend or release a purchase order",C,Ordering,C,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,1,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,4,OBS-04,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,3,3,Exact recorded interval,11:11,11:14,16L,1,/,Arno was asked a question but continued working. One line added to the original 15 lines.,,17,Mapped / P,"One line added to fifteen original lines. This supports amendment/completion, not an inferred MAX search, approval, dispatch or aftercare activity.",,,Arno,live_family,,,,,4: OBS-04; 11:11 to 11:14,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-04 | PO | 11:11 | 11:14 | 16L | 1 | / | Arno was asked a question but continued working. One line added to the original 15 lines. |,"{""Case"": ""OBS-04"", ""Activity"": ""PO"", ""Start"": ""11:11"", ""End"": ""11:14"", ""Volume"": ""16L"", ""INT"": ""1"", ""DEC?"": ""/"", ""Note"": ""Arno was asked a question but continued working. One line added to the original 15 lines.""}",2026-09-23 / row 4,PO,1,1,3,0,1,16,2026-09-23 / OBS-04,2026-09-23 / OBS-04,"Prepare, amend or release a purchase order",C,Ordering,C,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,3,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,5,OBS-04,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,1,1,Exact recorded interval,11:14,11:15,17L,/,/,One more line added.,,17,Mapped / P,"One further line added. This supports amendment/completion, not an inferred MAX search, approval, dispatch or aftercare activity.",,,Arno,live_family,,,,,5: OBS-04; 11:14 to 11:15,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-04 | PO | 11:14 | 11:15 | 17L | / | / | One more line added. |,"{""Case"": ""OBS-04"", ""Activity"": ""PO"", ""Start"": ""11:14"", ""End"": ""11:15"", ""Volume"": ""17L"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""One more line added.""}",2026-09-23 / row 5,PO,1,1,1,0,,17,2026-09-23 / OBS-04,2026-09-23 / OBS-04,"Prepare, amend or release a purchase order",C,Ordering,C,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,1,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,6,OBS-05,PO,"Prepare, amend or release a purchase order",P,Ordering,P,INCLUDE,VALID,2,2,Exact recorded interval,11:15,11:17,/,/,/,/,,17,Mapped / P,Only the timed PO family is recorded. Retain probable order preparation without asserting a detailed action or completed order; no excluded purpose is evidenced.,,,Arno,live_family,,,,,6: OBS-05; 11:15 to 11:17,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-05 | PO | 11:15 | 11:17 | / | / | / | / |,"{""Case"": ""OBS-05"", ""Activity"": ""PO"", ""Start"": ""11:15"", ""End"": ""11:17"", ""Volume"": ""/"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""/""}",2026-09-23 / row 6,PO,1,1,2,0,,,2026-09-23 / OBS-05,2026-09-23 / OBS-05,"Prepare, amend or release a purchase order",P,Ordering,P,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,2,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,7,OBS-05,CLAR,Unresolved activity,?,Ordering,P,INCLUDE,VALID,3,3,Exact recorded interval,11:17,11:20,/,/,/,/,,unassigned,Unresolved / ?,"The blank CLAR follows same-case PO work, suggesting ordering provisionally. Its question and action are unspecified; do not infer requirement definition or document completion.",,,Arno,live_family,,,,,7: OBS-05; 11:17 to 11:20,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-05 | CLAR | 11:17 | 11:20 | / | / | / | / |,"{""Case"": ""OBS-05"", ""Activity"": ""CLAR"", ""Start"": ""11:17"", ""End"": ""11:20"", ""Volume"": ""/"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""/""}",2026-09-23 / row 7,CLAR,1,1,3,0,,,2026-09-23 / OBS-05,2026-09-23 / OBS-05,Unresolved activity,?,Ordering,P,,unassigned,Unresolved / ?,2026-09-25,Reviewed; retain explicit uncertainties,,3,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,8,OBS-02,PO,"Prepare, amend or release a purchase order",C,Ordering,C,INCLUDE,VALID,3,3,Exact recorded interval,11:20,11:23,8L,/,/,Three lines added; additional handwritten text is unclear (TUB?).,,17,Mapped / P,"Three lines added to the same PO; unclear TUB text supplies no additional action. This supports amendment/completion, not an inferred MAX search, approval, dispatch or aftercare activity.",,,Arno,live_family,,,,,8: OBS-02; 11:20 to 11:23,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-02 | PO | 11:20 | 11:23 | 8L | / | / | Three lines added; additional handwritten text is unclear (TUB?). |,"{""Case"": ""OBS-02"", ""Activity"": ""PO"", ""Start"": ""11:20"", ""End"": ""11:23"", ""Volume"": ""8L"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""Three lines added; additional handwritten text is unclear (TUB?).""}",2026-09-23 / row 8,PO,1,1,3,0,,8,2026-09-23 / OBS-02,2026-09-23 / OBS-02,"Prepare, amend or release a purchase order",C,Ordering,C,,17,Mapped / P,2026-09-25,Reviewed; retain explicit uncertainties,,3,,,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,9,OBS-06,REQ-phone,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,VALID,,,Untimed,,/,/,/,/,,,unassigned,Unresolved / ?,"Phone intake leads to a client question concerning Dennis, but the purchasing purpose is not recorded. Routine purchasing versus other coordination is unresolved; duration remains missing.",,,Arno,live_family,,,,,9: OBS-06; untimed,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-06 | REQ-phone | | / | / | / | / | |,"{""Case"": ""OBS-06"", ""Activity"": ""REQ-phone"", ""Start"": """", ""End"": ""/"", ""Volume"": ""/"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": """"}",2026-09-23 / row 9,REQ,0,0,,0,,,2026-09-23 / OBS-06,2026-09-23 / OBS-06,Unresolved activity,?,Unresolved stage,?,,unassigned,Unresolved / ?,2026-09-25,Reviewed; retain explicit uncertainties,,,,Scope requires observer clarification,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,10,OBS-06,OTHER,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,VALID,,2,Exact recorded interval,11:23,11:25,/,/,/,A client asked Arno something concerning Dennis.,,unassigned,Unresolved / ?,"A client asked something concerning Dennis. The subject and purchasing relevance are unspecified, so preserve the two recorded minutes under scope review rather than inventing a task.",,,Arno,live_family,,,,,10: OBS-06; 11:23 to 11:25,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-06 | OTHER | 11:23 | 11:25 | / | / | / | A client asked Arno something concerning Dennis. |,"{""Case"": ""OBS-06"", ""Activity"": ""OTHER"", ""Start"": ""11:23"", ""End"": ""11:25"", ""Volume"": ""/"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": ""A client asked Arno something concerning Dennis.""}",2026-09-23 / row 10,OTHER,0,0,,0,,,2026-09-23 / OBS-06,2026-09-23 / OBS-06,Unresolved activity,?,Unresolved stage,?,,unassigned,Unresolved / ?,2026-09-25,Reviewed; retain explicit uncertainties,,2,,Scope requires observer clarification,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
2026-09-23,Baseline,11,OBS-07,REQ-phone,Unresolved activity,?,Unresolved stage,?,REVIEW_SCOPE,VALID,,,Untimed,/,/,/,/,/,,,unassigned,Unresolved / ?,Phone intake precedes an EXC-coded service-order question. The intake purpose is not itself specified; review its link to excluded handling instead of treating it as new demand.,,,Arno,live_family,,,,,11: OBS-07; untimed,docs/measurement/Measure_Observation_2026-09-23.md,https://github.com/Luuuuuig/Bachelor-End-Project/blob/f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af/docs/measurement/Measure_Observation_2026-09-23.md,f39fced7a0f317cc9aa9b7af4e9f1bee79d9c9af,2026-09-21,| OBS-07 | REQ-phone | / | / | / | / | / | |,"{""Case"": ""OBS-07"", ""Activity"": ""REQ-phone"", ""Start"": ""/"", ""End"": ""/"", ""Volume"": ""/"", ""INT"": ""/"", ""DEC?"": ""/"", ""Note"": """"}",2026-09-23 / row 11,REQ,0,0,,0,,,2026-09-23 / OBS-07,2026-09-23 / OBS-07,Unresolved activity,?,Unresolved stage,?,,unassigned,Unresolved / ?,2026-09-25,Reviewed; retain explicit uncertainties,,,,Scope requires observer clarification,a9c7f8ddc98192b4c45ec4e9f2a63c10bc06bc3c7b81b661a4295824dcbfd260
